"","avg_price","coral_cover","dist_to_reef","dive_site","beach_width","near_dist_beach","dist_to_access_points","class","rating","num_reviews","number_rooms","air_trans","bar","beachfront","biz_center","breakfast","concierge","conference","free_parking","gym","laundry","mtg_rooms","multilingual","no_smoke","wheelchair","wifi","dist_to_airport"
"74",307.5,81626502.94,559.8553648,"0",0,542.977599,599.0064178,3,4.5,184,4,"0","1","0","0","0","1","0","0","1","1","0","1","1","1","1",171474.6198
"75",332,91185971.55,422.6719945,"0",1.912915346,714.8120973,1947.147082,3.5,4,4106,216,"1","1","0","1","0","1","1","1","1","1","1","1","1","1","1",171575.9967
"76",290,81119465.78,1116.907761,"0",9.68378951,1080.63425,1172.560024,3.5,4,525,23,"0","0","0","0","1","0","0","0","0","0","0","1","1","0","0",172029.145
"77",301,79272356.85,467.200325,"0",0.994564376,447.237374,530.6610022,3.5,4.5,617,12,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",171383.88
"78",309.5,81581239.94,798.7294415,"0",7.662939544,756.0463013,798.0258983,2.5,4,266,9,"0","0","0","0","1","0","0","1","0","0","0","1","1","0","1",171655.7154
"79",281,87475843.02,1560.740151,"0",9.06669087,1524.039377,1558.907321,3,4.5,544,16,"0","0","0","0","1","1","0","0","0","0","0","1","1","0","1",172430.4823
"80",313,76639492.19,930.598339,"0",8.292066858,878.4540753,1050.588692,3,5,674,14,"0","0","0","0","1","1","0","0","0","0","0","0","1","0","1",171822.2107
"81",298.5,81632759.71,672.5950479,"0",12.65921959,650.7406127,669.5544643,3,4.5,1216,27,"0","0","0","0","1","0","0","1","0","0","0","0","1","1","1",171567.321
"82",287,74562826.11,776.3608984,"0",9.841625108,734.2611181,852.9457052,2.5,4,252,14,"0","1","0","1","1","0","0","0","1","1","0","0","1","0","1",171682.9689
"83",328.5,86880023.35,1285.937949,"0",10.35356277,1243.286937,1347.363138,3.5,5,1110,7,"0","0","0","0","1","0","0","0","0","0","0","1","1","0","1",172191.7286
